Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Number_of_whole_fixations	Number_of_saccades
Recording3	ID01	Timeline1	Walter-1	1	Relaxer1,Walter1	60034	96833	44868	182	153
Recording3	ID01	Timeline1	Walter-2	1	Relaxer1,Walter2	16100	171151	11209	41	37
Recording3	ID01	Timeline1	Walter-3	1	Text,Walter3	42501	191117	34625	125	113
Recording3	ID01	Timeline1	Walter1	1	Walter1	60034	95833	45518	181	153
Recording3	ID01	Timeline1	Walter2	1	Walter2	16100	170151	11708	44	39
Recording3	ID01	Timeline1	Walter3	1	Walter3	42501	190117	34908	127	116
Recording3	ID01	Timeline1	Entire Recording	1	Erstes Bild,Relaxer1,Text,Walter1,Walter2,Walter3,Walter-Charakter,Willkommen	236072	0	163450	543	418
Recording4	ID02	Timeline1	Walter-1	1	Relaxer1,Walter1	17917	120168	12241	58	41
Recording4	ID02	Timeline1	Walter-2	1	Relaxer1,Walter2	13067	142401	9177	45	29
Recording4	ID02	Timeline1	Walter-3	1	Text,Walter3	13517	158951	7295	39	24
Recording4	ID02	Timeline1	Walter1	1	Walter1	17917	119168	12658	59	42
Recording4	ID02	Timeline1	Walter2	1	Walter2	13067	141401	9027	46	30
Recording4	ID02	Timeline1	Walter3	1	Walter3	13517	157951	7128	38	22
Recording4	ID02	Timeline1	Entire Recording	1	Erstes Bild,Relaxer1,Text,Walter1,Walter2,Walter3,Walter-Charakter,Willkommen	178642	0	106058	468	221
Recording5	ID03	Timeline1	Walter-1	1	Relaxer1,Walter1	8467	93099	7295	23	21
Recording5	ID03	Timeline1	Walter-2	1	Relaxer1,Walter2	48134	104616	40704	168	159
Recording5	ID03	Timeline1	Walter-3	1	Text,Walter3	4433	154799	1649	8	9
Recording5	ID03	Timeline1	Walter1	1	Walter1	8467	92099	4697	22	21
Recording5	ID03	Timeline1	Walter2	1	Walter2	48134	103616	39588	167	158
Recording5	ID03	Timeline1	Walter3	1	Walter3	4433	153799	2032	10	10
Recording5	ID03	Timeline1	Entire Recording	1	Erstes Bild,Relaxer1,Text,Walter1,Walter2,Walter3,Walter-Charakter,Willkommen	166817	0	109605	380	319
Recording6	ID04	Timeline1	Walter-1	1	Relaxer1,Walter1	31500	163625	22834	87	72
Recording6	ID04	Timeline1	Walter-2	1	Relaxer1,Walter2	32850	211108	25215	103	91
Recording6	ID04	Timeline1	Walter-3	1	Text,Walter3	6083	246042	4630	15	11
Recording6	ID04	Timeline1	Walter1	1	Walter1	31500	162625	22284	84	68
Recording6	ID04	Timeline1	Walter2	1	Walter2	32850	210108	25832	105	92
Recording6	ID04	Timeline1	Walter3	1	Walter3	6083	245042	3298	15	13
Recording6	ID04	Timeline1	Entire Recording	1	Erstes Bild,Relaxer1,Text,Walter1,Walter2,Walter3,Walter-Charakter,Willkommen	255056	0	143350	457	337
Recording7	ID05	Timeline1	Walter-1	1	Relaxer1,Walter1	3133	90590	1999	8	8
Recording7	ID05	Timeline1	Walter-2	1	Relaxer1,Walter2	37984	98424	24732	117	104
Recording7	ID05	Timeline1	Walter-3	1	Text,Walter3	60017	137724	37507	187	157
